Team 1,Team 2,Date,KST Time,UTC Time
토트넘,웨스트햄,19.10. 20:30,2024-10-19 20:30:00+09:00,2024-10-19 11:30:00+00:00
뉴캐슬 Utd,브라이튼,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
맨체스터 유나이티드,브렌트퍼드,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
사우샘프턴,레스터,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
입스위치,에버턴,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
풀럼,아스톤 빌라,19.10. 23:00,2024-10-19 23:00:00+09:00,2024-10-19 14:00:00+00:00
본머스,아스널,20.10. 01:30,2024-10-20 01:30:00+09:00,2024-10-19 16:30:00+00:00
울버햄튼,맨체스터 시티,20.10. 22:00,2024-10-20 22:00:00+09:00,2024-10-20 13:00:00+00:00
리버풀,첼시,21.10. 00:30,2024-10-21 00:30:00+09:00,2024-10-20 15:30:00+00:00
노팅엄,크리스탈팰리스,22.10. 04:00,2024-10-22 04:00:00+09:00,2024-10-21 19:00:00+00:00
레스터,노팅엄,26.10. 04:00,2024-10-26 04:00:00+09:00,2024-10-25 19:00:00+00:00
맨체스터 시티,사우샘프턴,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
브라이튼,울버햄튼,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
브렌트퍼드,입스위치,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
아스톤 빌라,본머스,26.10. 23:00,2024-10-26 23:00:00+09:00,2024-10-26 14:00:00+00:00
에버턴,풀럼,27.10. 01:30,2024-10-27 01:30:00+09:00,2024-10-26 16:30:00+00:00
웨스트햄,맨체스터 유나이티드,27.10. 23:00,2024-10-27 23:00:00+09:00,2024-10-27 14:00:00+00:00
첼시,뉴캐슬 Utd,27.10. 23:00,2024-10-27 23:00:00+09:00,2024-10-27 14:00:00+00:00
크리스탈팰리스,토트넘,27.10. 23:00,2024-10-27 23:00:00+09:00,2024-10-27 14:00:00+00:00
아스널,리버풀,28.10. 01:30,2024-10-28 01:30:00+09:00,2024-10-27 16:30:00+00:00
뉴캐슬 Utd,아스널,02.11. 21:30,2024-11-02 21:30:00+09:00,2024-11-02 12:30:00+00:00
노팅엄,웨스트햄,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
리버풀,브라이튼,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
본머스,맨체스터 시티,03.11. 00:00,2024-11-03 00:00:00+09:00,2024-11-02 15:00:00+00:00
